index,InvoiceNo,StockCode,year,month,day,hour,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,amount_spent
0,536365,85123A,2010,12,3,8,"white hanging heart t-light holder",6,"2010-12-01 08:26:00",2.55,17850,"United Kingdom",15.3
1,536365,71053,2010,12,3,8,"white metal lantern",6,"2010-12-01 08:26:00",3.39,17850,"United Kingdom",20.34
2,536365,84406B,2010,12,3,8,"cream cupid hearts coat hanger",8,"2010-12-01 08:26:00",2.75,17850,"United Kingdom",22
3,536365,84029G,2010,12,3,8,"knitted union flag hot water bottle",6,"2010-12-01 08:26:00",3.39,17850,"United Kingdom",20.34
4,536365,84029E,2010,12,3,8,"red woolly hottie white heart.",6,"2010-12-01 08:26:00",3.39,17850,"United Kingdom",20.34
5,536365,22752,2010,12,3,8,"set 7 babushka nesting boxes",2,"2010-12-01 08:26:00",7.65,17850,"United Kingdom",15.3
6,536365,21730,2010,12,3,8,"glass star frosted t-light holder",6,"2010-12-01 08:26:00",4.25,17850,"United Kingdom",25.5
7,536366,22633,2010,12,3,8,"hand warmer union jack",6,"2010-12-01 08:28:00",1.85,17850,"United Kingdom",11.1
8,536366,22632,2010,12,3,8,"hand warmer red polka dot",6,"2010-12-01 08:28:00",1.85,17850,"United Kingdom",11.1
9,536367,84879,2010,12,3,8,"assorted colour bird ornament",32,"2010-12-01 08:34:00",1.69,13047,"United Kingdom",54.08
10,536367,22745,2010,12,3,8,"poppy s playhouse bedroom",6,"2010-12-01 08:34:00",2.1,13047,"United Kingdom",12.6
11,536367,22748,2010,12,3,8,"poppy s playhouse kitchen",6,"2010-12-01 08:34:00",2.1,13047,"United Kingdom",12.6
12,536367,22749,2010,12,3,8,"feltcraft princess charlotte doll",8,"2010-12-01 08:34:00",3.75,13047,"United Kingdom",30
13,536367,22310,2010,12,3,8,"ivory knitted mug cosy",6,"2010-12-01 08:34:00",1.65,13047,"United Kingdom",9.9
14,536367,84969,2010,12,3,8,"box of 6 assorted colour teaspoons",6,"2010-12-01 08:34:00",4.25,13047,"United Kingdom",25.5
15,536367,22623,2010,12,3,8,"box of vintage jigsaw blocks",3,"2010-12-01 08:34:00",4.95,13047,"United Kingdom",14.85
16,536367,22622,2010,12,3,8,"box of vintage alphabet blocks",2,"2010-12-01 08:34:00",9.95,13047,"United Kingdom",19.9
17,536367,21754,2010,12,3,8,"home building block word",3,"2010-12-01 08:34:00",5.95,13047,"United Kingdom",17.85
18,536367,21755,2010,12,3,8,"love building block word",3,"2010-12-01 08:34:00",5.95,13047,"United Kingdom",17.85
19,536367,21777,2010,12,3,8,"recipe box with metal heart",4,"2010-12-01 08:34:00",7.95,13047,"United Kingdom",31.8
20,536367,48187,2010,12,3,8,"doormat new england",4,"2010-12-01 08:34:00",7.95,13047,"United Kingdom",31.8
21,536368,22960,2010,12,3,8,"jam making set with jars",6,"2010-12-01 08:34:00",4.25,13047,"United Kingdom",25.5
22,536368,22913,2010,12,3,8,"red coat rack paris fashion",3,"2010-12-01 08:34:00",4.95,13047,"United Kingdom",14.85
23,536368,22912,2010,12,3,8,"yellow coat rack paris fashion",3,"2010-12-01 08:34:00",4.95,13047,"United Kingdom",14.85
24,536368,22914,2010,12,3,8,"blue coat rack paris fashion",3,"2010-12-01 08:34:00",4.95,13047,"United Kingdom",14.85
25,536369,21756,2010,12,3,8,"bath building block word",3,"2010-12-01 08:35:00",5.95,13047,"United Kingdom",17.85
26,536370,22728,2010,12,3,8,"alarm clock bakelike pink",24,"2010-12-01 08:45:00",3.75,12583,France,90
27,536370,22727,2010,12,3,8,"alarm clock bakelike red",24,"2010-12-01 08:45:00",3.75,12583,France,90
28,536370,22726,2010,12,3,8,"alarm clock bakelike green",12,"2010-12-01 08:45:00",3.75,12583,France,45
29,536370,21724,2010,12,3,8,"panda and bunnies sticker sheet",12,"2010-12-01 08:45:00",0.85,12583,France,10.2
30,536370,21883,2010,12,3,8,"stars gift tape",24,"2010-12-01 08:45:00",0.65,12583,France,15.6
31,536370,10002,2010,12,3,8,"inflatable political globe",48,"2010-12-01 08:45:00",0.85,12583,France,40.8
32,536370,21791,2010,12,3,8,"vintage heads and tails card game",24,"2010-12-01 08:45:00",1.25,12583,France,30
33,536370,21035,2010,12,3,8,"set/2 red retrospot tea towels",18,"2010-12-01 08:45:00",2.95,12583,France,53.1
34,536370,22326,2010,12,3,8,"round snack boxes set of4 woodland",24,"2010-12-01 08:45:00",2.95,12583,France,70.8
35,536370,22629,2010,12,3,8,"spaceboy lunch box",24,"2010-12-01 08:45:00",1.95,12583,France,46.8
36,536370,22659,2010,12,3,8,"lunch box i love london",24,"2010-12-01 08:45:00",1.95,12583,France,46.8
37,536370,22631,2010,12,3,8,"circus parade lunch box",24,"2010-12-01 08:45:00",1.95,12583,France,46.8
38,536370,22661,2010,12,3,8,"charlotte bag dolly girl design",20,"2010-12-01 08:45:00",0.85,12583,France,17
39,536370,21731,2010,12,3,8,"red toadstool led night light",24,"2010-12-01 08:45:00",1.65,12583,France,39.6
40,536370,22900,2010,12,3,8,"set 2 tea towels i love london",24,"2010-12-01 08:45:00",2.95,12583,France,70.8
41,536370,21913,2010,12,3,8,"vintage seaside jigsaw puzzles",12,"2010-12-01 08:45:00",3.75,12583,France,45
42,536370,22540,2010,12,3,8,"mini jigsaw circus parade",24,"2010-12-01 08:45:00",0.42,12583,France,10.08
43,536370,22544,2010,12,3,8,"mini jigsaw spaceboy",24,"2010-12-01 08:45:00",0.42,12583,France,10.08
44,536370,22492,2010,12,3,8,"mini paint set vintage",36,"2010-12-01 08:45:00",0.65,12583,France,23.4
45,536370,POST,2010,12,3,8,postage,3,"2010-12-01 08:45:00",18,12583,France,54
46,536371,22086,2010,12,3,9,"paper chain kit 50 s christmas",80,"2010-12-01 09:00:00",2.55,13748,"United Kingdom",204
47,536372,22632,2010,12,3,9,"hand warmer red polka dot",6,"2010-12-01 09:01:00",1.85,17850,"United Kingdom",11.1
48,536372,22633,2010,12,3,9,"hand warmer union jack",6,"2010-12-01 09:01:00",1.85,17850,"United Kingdom",11.1
49,536373,85123A,2010,12,3,9,"white hanging heart t-light holder",6,"2010-12-01 09:02:00",2.55,17850,"United Kingdom",15.3
50,536373,71053,2010,12,3,9,"white metal lantern",6,"2010-12-01 09:02:00",3.39,17850,"United Kingdom",20.34
51,536373,84406B,2010,12,3,9,"cream cupid hearts coat hanger",8,"2010-12-01 09:02:00",2.75,17850,"United Kingdom",22
52,536373,20679,2010,12,3,9,"edwardian parasol red",6,"2010-12-01 09:02:00",4.95,17850,"United Kingdom",29.7
53,536373,37370,2010,12,3,9,"retro coffee mugs assorted",6,"2010-12-01 09:02:00",1.06,17850,"United Kingdom",6.36
54,536373,21871,2010,12,3,9,"save the planet mug",6,"2010-12-01 09:02:00",1.06,17850,"United Kingdom",6.36
55,536373,21071,2010,12,3,9,"vintage billboard drink me mug",6,"2010-12-01 09:02:00",1.06,17850,"United Kingdom",6.36
56,536373,21068,2010,12,3,9,"vintage billboard love/hate mug",6,"2010-12-01 09:02:00",1.06,17850,"United Kingdom",6.36
57,536373,82483,2010,12,3,9,"wood 2 drawer cabinet white finish",2,"2010-12-01 09:02:00",4.95,17850,"United Kingdom",9.9
58,536373,82486,2010,12,3,9,"wood s/3 cabinet ant white finish",4,"2010-12-01 09:02:00",6.95,17850,"United Kingdom",27.8
59,536373,82482,2010,12,3,9,"wooden picture frame white finish",6,"2010-12-01 09:02:00",2.1,17850,"United Kingdom",12.6
60,536373,82494L,2010,12,3,9,"wooden frame antique white",6,"2010-12-01 09:02:00",2.55,17850,"United Kingdom",15.3
61,536373,84029G,2010,12,3,9,"knitted union flag hot water bottle",6,"2010-12-01 09:02:00",3.39,17850,"United Kingdom",20.34
62,536373,84029E,2010,12,3,9,"red woolly hottie white heart.",6,"2010-12-01 09:02:00",3.39,17850,"United Kingdom",20.34
63,536373,22752,2010,12,3,9,"set 7 babushka nesting boxes",2,"2010-12-01 09:02:00",7.65,17850,"United Kingdom",15.3
64,536373,21730,2010,12,3,9,"glass star frosted t-light holder",6,"2010-12-01 09:02:00",4.25,17850,"United Kingdom",25.5
65,536374,21258,2010,12,3,9,"victorian sewing box large",32,"2010-12-01 09:09:00",10.95,15100,"United Kingdom",350.4
66,536375,85123A,2010,12,3,9,"white hanging heart t-light holder",6,"2010-12-01 09:32:00",2.55,17850,"United Kingdom",15.3
67,536375,71053,2010,12,3,9,"white metal lantern",6,"2010-12-01 09:32:00",3.39,17850,"United Kingdom",20.34
68,536375,84406B,2010,12,3,9,"cream cupid hearts coat hanger",8,"2010-12-01 09:32:00",2.75,17850,"United Kingdom",22
69,536375,20679,2010,12,3,9,"edwardian parasol red",6,"2010-12-01 09:32:00",4.95,17850,"United Kingdom",29.7
70,536375,37370,2010,12,3,9,"retro coffee mugs assorted",6,"2010-12-01 09:32:00",1.06,17850,"United Kingdom",6.36
71,536375,21871,2010,12,3,9,"save the planet mug",6,"2010-12-01 09:32:00",1.06,17850,"United Kingdom",6.36
72,536375,21071,2010,12,3,9,"vintage billboard drink me mug",6,"2010-12-01 09:32:00",1.06,17850,"United Kingdom",6.36
73,536375,21068,2010,12,3,9,"vintage billboard love/hate mug",6,"2010-12-01 09:32:00",1.06,17850,"United Kingdom",6.36
74,536375,82483,2010,12,3,9,"wood 2 drawer cabinet white finish",2,"2010-12-01 09:32:00",4.95,17850,"United Kingdom",9.9
75,536375,82486,2010,12,3,9,"wood s/3 cabinet ant white finish",4,"2010-12-01 09:32:00",6.95,17850,"United Kingdom",27.8
76,536375,82482,2010,12,3,9,"wooden picture frame white finish",6,"2010-12-01 09:32:00",2.1,17850,"United Kingdom",12.6
77,536375,82494L,2010,12,3,9,"wooden frame antique white",6,"2010-12-01 09:32:00",2.55,17850,"United Kingdom",15.3
78,536375,84029G,2010,12,3,9,"knitted union flag hot water bottle",6,"2010-12-01 09:32:00",3.39,17850,"United Kingdom",20.34
79,536375,84029E,2010,12,3,9,"red woolly hottie white heart.",6,"2010-12-01 09:32:00",3.39,17850,"United Kingdom",20.34
80,536375,22752,2010,12,3,9,"set 7 babushka nesting boxes",2,"2010-12-01 09:32:00",7.65,17850,"United Kingdom",15.3
81,536375,21730,2010,12,3,9,"glass star frosted t-light holder",6,"2010-12-01 09:32:00",4.25,17850,"United Kingdom",25.5
82,536376,22114,2010,12,3,9,"hot water bottle tea and sympathy",48,"2010-12-01 09:32:00",3.45,15291,"United Kingdom",165.6
83,536376,21733,2010,12,3,9,"red hanging heart t-light holder",64,"2010-12-01 09:32:00",2.55,15291,"United Kingdom",163.2
84,536377,22632,2010,12,3,9,"hand warmer red polka dot",6,"2010-12-01 09:34:00",1.85,17850,"United Kingdom",11.1
85,536377,22633,2010,12,3,9,"hand warmer union jack",6,"2010-12-01 09:34:00",1.85,17850,"United Kingdom",11.1
86,536378,22386,2010,12,3,9,"jumbo bag pink polkadot",10,"2010-12-01 09:37:00",1.95,14688,"United Kingdom",19.5
87,536378,85099C,2010,12,3,9,"jumbo  bag baroque black white",10,"2010-12-01 09:37:00",1.95,14688,"United Kingdom",19.5
88,536378,21033,2010,12,3,9,"jumbo bag charlie and lola toys",10,"2010-12-01 09:37:00",2.95,14688,"United Kingdom",29.5
89,536378,20723,2010,12,3,9,"strawberry charlotte bag",10,"2010-12-01 09:37:00",0.85,14688,"United Kingdom",8.5
90,536378,84997B,2010,12,3,9,"red 3 piece retrospot cutlery set",12,"2010-12-01 09:37:00",3.75,14688,"United Kingdom",45
91,536378,84997C,2010,12,3,9,"blue 3 piece polkadot cutlery set",6,"2010-12-01 09:37:00",3.75,14688,"United Kingdom",22.5
92,536378,21094,2010,12,3,9,"set/6 red spotty paper plates",12,"2010-12-01 09:37:00",0.85,14688,"United Kingdom",10.2
93,536378,20725,2010,12,3,9,"lunch bag red retrospot",10,"2010-12-01 09:37:00",1.65,14688,"United Kingdom",16.5
94,536378,21559,2010,12,3,9,"strawberry lunch box with cutlery",6,"2010-12-01 09:37:00",2.55,14688,"United Kingdom",15.3
95,536378,22352,2010,12,3,9,"lunch box with cutlery retrospot",6,"2010-12-01 09:37:00",2.55,14688,"United Kingdom",15.3
96,536378,21212,2010,12,3,9,"pack of 72 retrospot cake cases",120,"2010-12-01 09:37:00",0.42,14688,"United Kingdom",50.4
97,536378,21975,2010,12,3,9,"pack of 60 dinosaur cake cases",24,"2010-12-01 09:37:00",0.55,14688,"United Kingdom",13.2
98,536378,21977,2010,12,3,9,"pack of 60 pink paisley cake cases",24,"2010-12-01 09:37:00",0.55,14688,"United Kingdom",13.2
99,536378,84991,2010,12,3,9,"60 teatime fairy cake cases",24,"2010-12-01 09:37:00",0.55,14688,"United Kingdom",13.2
100,536378,84519A,2010,12,3,9,"tomato charlie+lola coaster set",6,"2010-12-01 09:37:00",2.95,14688,"United Kingdom",17.7
101,536378,85183B,2010,12,3,9,"charlie & lola wastepaper bin flora",48,"2010-12-01 09:37:00",1.25,14688,"United Kingdom",60
102,536378,85071B,2010,12,3,9,"red charlie+lola personal doorsign",96,"2010-12-01 09:37:00",0.38,14688,"United Kingdom",36.48
103,536378,21931,2010,12,3,9,"jumbo storage bag suki",10,"2010-12-01 09:37:00",1.95,14688,"United Kingdom",19.5
104,536378,21929,2010,12,3,9,"jumbo bag pink vintage paisley",10,"2010-12-01 09:37:00",1.95,14688,"United Kingdom",19.5
105,536380,22961,2010,12,3,9,"jam making set printed",24,"2010-12-01 09:41:00",1.45,17809,"United Kingdom",34.8
106,536381,22139,2010,12,3,9,"retrospot tea set ceramic 11 pc",23,"2010-12-01 09:41:00",4.25,15311,"United Kingdom",97.75
107,536381,84854,2010,12,3,9,"girly pink tool set",5,"2010-12-01 09:41:00",4.95,15311,"United Kingdom",24.75
108,536381,22411,2010,12,3,9,"jumbo shopper vintage red paisley",10,"2010-12-01 09:41:00",1.95,15311,"United Kingdom",19.5
109,536381,82567,2010,12,3,9,"airline lounge.metal sign",2,"2010-12-01 09:41:00",2.1,15311,"United Kingdom",4.2
110,536381,21672,2010,12,3,9,"white spot red ceramic drawer knob",6,"2010-12-01 09:41:00",1.25,15311,"United Kingdom",7.5
111,536381,22774,2010,12,3,9,"red drawer knob acrylic edwardian",24,"2010-12-01 09:41:00",1.25,15311,"United Kingdom",30
112,536381,22771,2010,12,3,9,"clear drawer knob acrylic edwardian",24,"2010-12-01 09:41:00",1.25,15311,"United Kingdom",30
113,536381,71270,2010,12,3,9,"photo clip line",1,"2010-12-01 09:41:00",1.25,15311,"United Kingdom",1.25
114,536381,22262,2010,12,3,9,"felt egg cosy chicken",1,"2010-12-01 09:41:00",0.85,15311,"United Kingdom",0.85
115,536381,22637,2010,12,3,9,"piggy bank retrospot",1,"2010-12-01 09:41:00",2.55,15311,"United Kingdom",2.55
116,536381,21934,2010,12,3,9,"skull shoulder bag",10,"2010-12-01 09:41:00",1.65,15311,"United Kingdom",16.5
117,536381,21169,2010,12,3,9,"you re confusing me metal sign",3,"2010-12-01 09:41:00",1.69,15311,"United Kingdom",5.07
118,536381,21166,2010,12,3,9,"cook with wine metal sign",1,"2010-12-01 09:41:00",1.95,15311,"United Kingdom",1.95
119,536381,21175,2010,12,3,9,"gin + tonic diet metal sign",2,"2010-12-01 09:41:00",2.1,15311,"United Kingdom",4.2
120,536381,37444A,2010,12,3,9,"yellow breakfast cup and saucer",1,"2010-12-01 09:41:00",2.95,15311,"United Kingdom",2.95
121,536381,37444C,2010,12,3,9,"pink breakfast cup and saucer",1,"2010-12-01 09:41:00",2.95,15311,"United Kingdom",2.95
122,536381,22086,2010,12,3,9,"paper chain kit 50 s christmas",4,"2010-12-01 09:41:00",2.95,15311,"United Kingdom",11.8
123,536381,22083,2010,12,3,9,"paper chain kit retrospot",1,"2010-12-01 09:41:00",2.95,15311,"United Kingdom",2.95
124,536381,84971S,2010,12,3,9,"small heart flowers hook",6,"2010-12-01 09:41:00",0.85,15311,"United Kingdom",5.1
125,536381,71270,2010,12,3,9,"photo clip line",3,"2010-12-01 09:41:00",1.25,15311,"United Kingdom",3.75
126,536381,47580,2010,12,3,9,"tea time des tea cosy",2,"2010-12-01 09:41:00",2.55,15311,"United Kingdom",5.1
127,536381,22261,2010,12,3,9,"felt egg cosy white rabbit",1,"2010-12-01 09:41:00",0.85,15311,"United Kingdom",0.85
128,536381,84832,2010,12,3,9,"zinc willie winkie  candle stick",1,"2010-12-01 09:41:00",0.85,15311,"United Kingdom",0.85
129,536381,22644,2010,12,3,9,"ceramic cherry cake money bank",1,"2010-12-01 09:41:00",1.45,15311,"United Kingdom",1.45
130,536381,21533,2010,12,3,9,"retrospot large milk jug",1,"2010-12-01 09:41:00",4.95,15311,"United Kingdom",4.95
131,536381,21557,2010,12,3,9,"set of 6 funky beakers",2,"2010-12-01 09:41:00",2.95,15311,"United Kingdom",5.9
132,536381,15056BL,2010,12,3,9,"edwardian parasol black",2,"2010-12-01 09:41:00",5.95,15311,"United Kingdom",11.9
133,536381,15056N,2010,12,3,9,"edwardian parasol natural",2,"2010-12-01 09:41:00",5.95,15311,"United Kingdom",11.9
134,536381,22646,2010,12,3,9,"ceramic strawberry cake money bank",4,"2010-12-01 09:41:00",1.45,15311,"United Kingdom",5.8
135,536381,22176,2010,12,3,9,"blue owl soft toy",1,"2010-12-01 09:41:00",2.95,15311,"United Kingdom",2.95
136,536381,22438,2010,12,3,9,"balloon art make your own flowers",1,"2010-12-01 09:41:00",1.95,15311,"United Kingdom",1.95
137,536381,21731,2010,12,3,9,"red toadstool led night light",2,"2010-12-01 09:41:00",1.65,15311,"United Kingdom",3.3
138,536381,22778,2010,12,3,9,"glass cloche small",3,"2010-12-01 09:41:00",3.95,15311,"United Kingdom",11.85
139,536381,22719,2010,12,3,9,"gumball monochrome coat rack",36,"2010-12-01 09:41:00",1.06,15311,"United Kingdom",38.16
